Handle ,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,Erkek Vizon Düz Dokuma Pantolon KP10120723,Dokuma  Pilesiz  Fermuarlı Kapama Pantolon Desen: Düz Line: Casual Cep: 5 Cep Paça: Dar Paça Doku Özelliği: Gabardin Kalıp: Regular Fit Yıkama Tipi: Yıkamalı Karışım: %98 Pamuk  %2 Elastan,REXGOLL,,Pantolon,Pantolon,TRUE,Renk,acik-haki,Size,28,,,,200,shopify,5284,deny,manual,34.93,34.93,TRUE,TRUE,https://www.trendyol.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,1,,FALSE,,,,,,,,,used,FALSE,,,,,,,g,,,,,active
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,28,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,2,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,30,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,3,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,32,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,4,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,34,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,5,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,36,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,6,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,38,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,7,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,acik-haki,Size,40,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty27/product/media/images/20201126/17/32788895/113372084/1/1_org_zoom.jpg,8,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,28,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,9,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,30,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,10,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,32,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,11,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,34,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,12,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,36,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,13,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,38,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,14,,,,,,,,,,,,,,,,,,,,,,,,
Erkek-Vizon-Düz-Dokuma-Pantolon-KP10120723,,,,,,,,Renk,vizon,Size,40,,,,,,,,,,,,,,https://cdn.dsmcdn.com/ty221/product/media/images/20211102/8/163734581/70460595/1/1_org_zoom.jpg,15,,,,,,,,,,,,,,,,,,,,,,,,
